x1,T,s11,s22,s12,mass1,mass2,zeta,zeta_err,eta,eta_err
0.5,0.5,0.1,0.5,0.3,0.2,0,1.4887334e-05,1.7043058e-06,0.09323809,0.008457686
0.5,0.5,0.1,0.5,0.3,0.2,0.3,3.5844208e-05,4.4942943e-06,0.093221098,0.0051505676
0.5,0.5,0.1,0.5,0.3,0.2,0.5,0.00011224941,1.3987624e-05,0.093976375,0.0069544432
0.5,0.5,0.1,0.5,0.3,0.2,1,0.00049767245,5.2749083e-05,0.096126544,0.0094776206
0.5,0.5,0.1,0.5,0.3,0.2,2,0.0015954713,0.0002089676,0.096592245,0.0098481436
0.5,0.5,0.1,0.5,0.3,0.2,3,0.00280185,0.0003389101,0.10233988,0.0085168865
0.5,0.5,0.1,0.5,0.3,0.2,5,0.0055439216,0.0011202414,0.10446864,0.012082533
0.5,0.5,0.1,0.5,0.3,0.5,0,0.00016108583,1.3162661e-05,0.099442322,0.0059897082
0.5,0.5,0.1,0.5,0.3,0.5,0.3,0.00015248544,1.4605221e-05,0.092417007,0.0063180294
0.5,0.5,0.1,0.5,0.3,0.5,0.5,0.00016666898,3.1369538e-05,0.092430681,0.012772578
0.5,0.5,0.1,0.5,0.3,0.5,1,0.00039642108,6.9080541e-05,0.10157337,0.0064660662
0.5,0.5,0.1,0.5,0.3,0.5,2,0.0012226107,0.00022815449,0.096908028,0.0060072267
0.5,0.5,0.1,0.5,0.3,0.5,3,0.0022671618,0.00029441394,0.097554486,0.0080816223
0.5,0.5,0.1,0.5,0.3,0.5,5,0.0041330517,0.00054344806,0.11933156,0.0066920236
0.5,0.5,0.1,0.5,0.3,0.8,0,0.00044176751,6.5925178e-05,0.10135287,0.0094214799
0.5,0.5,0.1,0.5,0.3,0.8,0.3,0.0003620181,3.8875589e-05,0.091438717,0.0049717852
0.5,0.5,0.1,0.5,0.3,0.8,0.5,0.00032148241,4.3805793e-05,0.095125095,0.0074164517
0.5,0.5,0.1,0.5,0.3,0.8,1,0.00040740683,5.736129e-05,0.099732353,0.0077752457
0.5,0.5,0.1,0.5,0.3,0.8,2,0.00096101437,0.00019167741,0.10096737,0.0075538378
0.5,0.5,0.1,0.5,0.3,0.8,3,0.001513248,0.00028438747,0.10678398,0.0094037435
0.5,0.5,0.1,0.5,0.3,0.8,5,0.002835255,0.00067852287,0.1136697,0.0093532108
